"DateTime";"Chaves - Pessoa Jurídica";"Chaves - Pessoa Física";"Total"
"2020-11-30";4231373;91031284;95262657
"2020-12-31";5775470;128102487;133877957
"2021-01-31";6911015;152478535;159389550
"2021-02-28";7855560;174017804;181873364
"2021-03-31";8825151;197750123;206575274
"2021-04-30";9648998;220990024;230639022
"2021-05-31";10433365;243907274;254340639
"2021-06-30";11158762;263216045;274374807
"2021-07-31";11936340;282221209;294157549
"2021-08-31";12712830;300558371;313271201
"2021-09-30";13389417;317377465;330766882
"2021-10-31";14069072;334026935;348096007
"2021-11-30";14755234;349573557;364328791
"2021-12-31";15465447;365691562;381157009
"2022-01-31";16167262;379035620;395202882
"2022-02-28";16896772;391798245;408695017
"2022-03-31";17695077;406185258;423880335
"2022-04-30";18591019;419885826;438476845
"2022-05-31";19522486;435024889;454547375
"2022-06-30";20408017;448644702;469052719
"2022-07-31";21255602;462592620;483848222
"2022-08-31";22137878;475840364;497978242
"2022-09-30";22972828;488144547;511117375