"DateTime";"Valor Fora do SPI";"Valor SPI";"Total"
"2020-11-30";4196839;25086241,99;30066685
"2020-12-31";13722970;107200725,98;120923696
"2021-01-31";18726412;137919557,33;156645970
"2021-02-28";26275790;169605242,42;195881032
"2021-03-31";35424367;238340770,22;273765137
"2021-04-30";40098129;273600875,93;313699005
"2021-05-31";50288971;327381527,71;377670498
"2021-06-30";56373939;361363074,01;417737013
"2021-07-31";61827434;413422496,12;475249930
"2021-08-31";72388762;458004548,2;530393310
"2021-09-30";75049057;479641338,71;554690396
"2021-10-31";81609622;502076936,94;583686559
"2021-11-30";85729014;538346385,86;624075399
"2021-12-31";95788467;622430760,65;718219227
"2022-01-31";85985144;553979254,72;639964399
"2022-02-28";82401028;562339048,75;644740077
"2022-03-31";94487847;690198169,77;784686017
"2022-04-30";108972996;680463238,13;789436234
"2022-05-31";120685431;770623389,39;891308820
"2022-06-30";116411041;772735613,07;889146654
"2022-07-31";121746982;811822138,58;933569120
"2022-08-31";98666480;887047951,68;985759304
"2022-09-30";141236291;880080246,38;1021316515