"DateTime";"G2P";"P2G";"G2B";"B2G";"G2G";"P2B";"B2P";"B2B";"P2P"
"2020-11-30";708;1055;6642;1182;17721;1348882;2464702;9838099;11407247
"2020-12-31";4982;6254;52099;23072;131348;6285050;12028232;39854914;48814771
"2021-01-31";4077;14095;35748;22522;446181;10723435;15645445;49053037;61975013
"2021-02-28";7420;22211;58037;32316;556610;14539687;20663201;57720634;76005122
"2021-03-31";14575;32038;151468;45246;566983;21519494;28386722;85751942;101872298
"2021-04-30";14696;42353;92920;40420;236628;26807561;32485974;97851841;116028478
"2021-05-31";15553;82169;108500;90521;311314;33281496;39028281;116399641;138064050
"2021-06-30";21771;91960;138877;120682;450451;36188455;43987943;127753915;152609014
"2021-07-31";21677;124107;171952;193754;404789;42322566;52476601;140555713;177151333
"2021-08-31";28735;157116;210745;197362;531748;47472969;58243727;161513533;189648607
"2021-09-30";28700;163836;229093;270835;549685;48993828;59951569;173099146;196354639
"2021-10-31";31052;167095;215129;241525;528557;51787093;63664983;176310202;209131294
"2021-11-30";31671;197584;212930;368195;522610;57098510;69372749;192959349;217564150
"2021-12-31";47026;480400;319841;465916;842559;63097171;81173944;215579991;260383426
"2022-01-31";26748;578967;262876;559194;1187327;57254874;69579686;197012228;227517350
"2022-02-28";48433;360739;306896;507030;1187104;57688308;72043436;193468331;236728767
"2022-03-31";41425;450205;450121;550720;1161966;70110090;88235619;258101572;271096447
"2022-04-30";41337;558500;415467;679584;1191093;69272174;89380427;246293002;272524076
"2022-05-31";149437;889244;653121;1016524;1853191;79216160;98096577;287164402;301574478
"2022-06-30";231310;564615;667354;842834;1739773;79470035;100803274;285522070;302894345
"2022-07-31";291332;584669;971235;915053;1550301;83495758;105875264;299846202;318275697
"2022-08-31";247480;634225;871142;971305;1704058;92258035;117041531;340906982;332398587
"2022-09-30";165589;626732;1101131;1015102;1796692;91704144;118116880;330735839;334808351