"DateTime";"Quantidade Fora do SPI";"Quantidade SPI";"Total"
"2020-11-30";5464039;27614588;34988934
"2020-12-31";19248300;124890953;144139253
"2021-01-31";30867346;169766107;200633453
"2021-02-28";45441454;229417974;274859428
"2021-03-31";64164556;328459612;392624168
"2021-04-30";87901422;410672264;498573686
"2021-05-31";103950736;543277868;647228604
"2021-06-30";117296797;626017643;743314440
"2021-07-31";137889636;745678803;883568439
"2021-08-31";156995563;815190849;972186412
"2021-09-30";169633205;871214150;1040847355
"2021-10-31";204694760;979861897;1184556657
"2021-11-30";209342129;1035152421;1244494550
"2021-12-31";238864797;1224400751;1463265548
"2022-01-31";210923669;1093368230;1304291899
"2022-02-28";205541943;1162439565;1367981508
"2022-03-31";239111899;1362478423;1601590322
"2022-04-30";257577264;1419966427;1677543691
"2022-05-31";285310609;1575162709;1860473318
"2022-06-30";296763962;1633750257;1930514219
"2022-07-31";318432139;1749926758;2068358897
"2022-08-31";334206290;1858906259;2193113902
"2022-09-30";379672164;1921667894;2301340016