"DateTime";"G2G";"G2B";"G2P";"B2G";"P2G";"B2B";"B2P";"P2B";"P2P"
"2020-11-30";198;778;533;305;1847;628581;1624430;1442366;23915550
"2020-12-31";987;5155;2830;1777;10689;2800127;8158766;7959031;105951591
"2021-01-31";933;2542;8453;3931;34861;4402253;12280552;14135211;138897371
"2021-02-28";1820;7498;5130;6400;52246;6172265;20600497;21168222;181403896
"2021-03-31";3463;18304;10969;14096;74637;9250973;30708295;35057584;253321291
"2021-04-30";2878;14825;10579;35227;145780;10863073;38213893;47632986;313753023
"2021-05-31";3135;18460;12778;107835;421438;13732020;58631510;64715010;405635682
"2021-06-30";3697;23568;16294;108902;390442;15850122;70172653;79023406;460428559
"2021-07-31";3892;28305;18936;169521;583958;18901635;78916537;99601476;547454543
"2021-08-31";4340;34866;23255;245459;945316;21863547;72200210;118556706;601317143
"2021-09-30";4836;37315;24992;251751;934342;23306629;66244828;132508647;647900807
"2021-10-31";4420;34446;25997;250679;868234;25044680;70237253;152724371;730671814
"2021-11-30";4491;36442;27348;340712;971672;27720375;75611732;171436463;758890792
"2021-12-31";6383;49108;57588;437672;1420891;30194289;85976648;202692523;903219091
"2022-01-31";5250;19438;19720;514950;1824045;29298881;78385869;194896587;788403485
"2022-02-28";7595;30869;303198;456433;1564435;30261476;81487311;206730201;841598047
"2022-03-31";7741;42888;71461;545537;1976281;37286551;97696694;250199147;974652119
"2022-04-30";7864;40952;35707;618611;2203857;36860093;99068413;268821535;1011430799
"2022-05-31";8991;52896;425769;797787;3317365;42053316;107505301;309578225;1111308930
"2022-06-30";8442;50341;338589;775992;2274646;43854588;111808387;336188191;1138451074
"2022-07-31";9935;54504;352812;845613;2452301;47577687;120869692;369312717;1208294109
"2022-08-31";9900;55973;625746;995844;2829819;54568988;130798966;407542378;1261331674
"2022-09-30";12771;56095;741031;989088;2895905;54932126;133728403;430425123;1297760720