"DateTime";"Norte";"Centro-Oeste";"Sul";"Nordeste";"Sudeste"
"2020-11-30";0,069152;0,097674;0,124552;0,19627;0,512353
"2020-12-31";0,073503;0,104337;0,126462;0,199935;0,495843
"2021-01-31";0,070622;0,107461;0,128956;0,200435;0,492526
"2021-02-28";0,072187;0,106001;0,128093;0,199734;0,493985
"2021-03-31";0,074834;0,103695;0,129207;0,20033;0,491934
"2021-04-30";0,078868;0,102006;0,126462;0,205976;0,486688
"2021-05-31";0,081419;0,098118;0,119819;0,212784;0,487861
"2021-06-30";0,082559;0,095144;0,118086;0,217686;0,486525
"2021-07-31";0,0849;0,0952;0,1183;0,2244;0,4772
"2021-08-31";0,085507;0,096241;0,120723;0,229113;0,468416
"2021-09-30";0,088;0,0962;0,1212;0,2372;0,4575
"2021-10-31";0,091298;0,094639;0,122083;0,242725;0,449255
"2021-11-30";0,089484;0,094766;0,125968;0,240216;0,449567
"2021-12-31";0,090323;0,093692;0,126339;0,243205;0,446442
"2022-01-31";0,09067;0,092663;0,123273;0,247245;0,446149
"2022-02-28";0,096151;0,092544;0,117468;0,259916;0,433922
"2022-03-31";0,096888;0,093552;0,11736;0,260087;0,432113
"2022-04-30";0,094968;0,092466;0,122236;0,251149;0,439181
"2022-05-31";0,09639;0,091267;0,121794;0,253815;0,436733
"2022-06-30";0,097742;0,09077;0,121054;0,25633;0,434103
"2022-07-31";0,097025;0,089656;0,121953;0,256967;0,434399
"2022-08-31";0,097469;0,089503;0,12158;0,261465;0,429983
"2022-09-30";0,09666;0,088735;0,12122;0,263794;0,429591