"DateTime";"Recebedor PJ";"Recebedor PF";"Pagador PJ";"Pagador PF";"Usuários PF";"Usuários PJ"
"2020-11-30";759286;10258653;684173;9597668;13717955;1135773
"2020-12-31";1998059;27899445;1846646;26503094;35777944;2710094
"2021-01-31";2854822;39943658;2713302;37143632;48814392;3700934
"2021-02-28";3504114;49549030;3420125;45285651;58454724;4422709
"2021-03-31";4123811;58406769;4063464;53019584;67215425;5077534
"2021-04-30";4616472;66205615;4591464;60216524;74926197;5598816
"2021-05-31";5067755;73204938;5083168;67889421;82581330;6072225
"2021-06-30";5459273;78901134;5509921;74037976;88517769;6478659
"2021-07-31";5848453;84128939;5923628;79328668;93701251;6878118
"2021-08-31";6222040;88416267;6311065;83817588;97906557;7259418
"2021-09-30";6552179;91988347;6657311;87507872;101286388;7599273
"2021-10-31";6863950;95288807;6987564;90921975;104402651;7919700
"2021-11-30";7170049;98228252;7312024;93843800;107077102;8234457
"2021-12-31";7471157;101227827;7630017;96778251;109763731;8540944
"2022-01-31";7739884;103634560;7907869;99214457;111973787;8811371
"2022-02-28";8008949;105927207;8189367;101539662;114093633;9086866
"2022-03-31";8308860;108422218;8497915;104044740;116391800;9393182
"2022-04-30";8591837;110729812;8787926;106469385;118537382;9680228
"2022-05-31";8893028;112986405;9089767;109103985;120734878;9984718
"2022-06-30";9187998;115033308;9380691;111412328;122674781;10278697
"2022-07-31";9476707;117043846;9671082;113553604;124521592;10569298
"2022-08-31";9772095;119097149;9976835;115715756;126428944;10874210
"2022-09-30";10059449;121106576;10266486;117739046;128250711;11168612